village_id,predicted_winch_prob
5502905,0.7766999999999995
5502921,0.6178499999999999
5502922,0.5930000000000001
5502906,0.5796666666666668
5502037,0.5230999999999999
5503134,0.521
5503092,0.5171033333333331
5502952,0.5066166666666664
5503150,0.5040666666666666
5503137,0.49979999999999974
5501324,0.4793000000000001
5502898,0.4772500000000003
5502938,0.4696999999999998
5502901,0.4586500000000001
5502909,0.4357500000000001
5503193,0.4269833333333334
5503121,0.4268
5502899,0.42264999999999975
5502981,0.4137166666666664
5503132,0.4106666666666663
5502888,0.4095833333333333
5502955,0.4055666666666663
5503210,0.4053
5502868,0.4003333333333334
5503142,0.3958666666666666
5502932,0.3632999999999998
5502954,0.35753333333333354
5503140,0.35066666666666657
5502953,0.3445666666666664
5503112,0.3375000000000001
5503050,0.33360000000000006
5502900,0.33116666666666655
5502858,0.31781666666666675
5502892,0.31736666666666674
5502902,0.3079000000000001
5502941,0.3042333333333335
5502942,0.29916666666666664
5502944,0.278
5503118,0.26610000000000006
